# NodeID	Attribute1	Attribute2	Attribute3	Attribute4	Attribute5	Attribute6	Attribute7	Attribute8	Attribute9	Attribute10	Attribute11	Attribute12	Attribute13	Attribute14	Attribute15	Attribute16	Attribute17	Attribute18	Attribute19	Attribute20	_id	OutDeg	Pagerank
EC_F6ehWV7MCXQU	759900	16	0	40.933276	-5.48265				EC_F6ehWV7MCXQU	759900	Encinas de Abajo	GriQ3FNQULxDBkXM0g	12602119	Salamanca	OTZEH69QUL.4uFJGYQ	12578033	Castille and Leon	oVKj1ohTUb5V1poSBg	23424950	Spain	654	1	0.000003
0PKAGcVYVbpj_zc	970398	16	0	50.888331	4.360268				b_4P.TNYVLL65Ls	968019	Bruxelles	rN6vx6NQUL9GLPFzvw	12591762	Brussel Hoofdstad	XgOq1xdUV7OlE4LmsQ	55965974	Capital Region of Brussels	KAx7uAdTUb4BXhB.8Q	23424757	Belgium	655	1	0.000003
S.m5DQhXUbLn4Q	63820	10	0	23.126784	-82.373428				mfX4siRXUbJJTg	63817	Havana				e5ujz5VTUb4qxdbQ	2345107	Ciudad de la Habana	UZnbzcNTUb7ztBELkQ	23424793	Cuba	656	1	0.000003
KJ1jIL5QULwR.ovsBw	12618037	15	0	52.172536	21.30779				KJ1jIL5QULwR.ovsBw	12618037	Wiązowna	HqFsRdtQUL_BLxGPrA	12591287	Otwock County	UOeRkY5QUL.pwcQdmQ	12577941	Masovian	rdlphhxTUb6nLbmC2w	23424923	Poland	657	1	0.000002
Xv7HdPhTW7p6GPtb0g	29044573	10	0	16.753262	73.31108				Xv7HdPhTW7p6GPtb0g	29044573	Kasheli	DLYDjolQUL9FHYvETA	12586546	Ratnagiri	qiZtc3ZTUb6N1adS	2345750	Maharashtra	kZ2lUVFTUb7CK_DAfA	23424848	India	658	1	0.000003
qrjtvutWU7MRlUY	719848	16	0	41.839249	12.888942				qrjtvutWU7MRlUY	719848	Palestrina	ulFfr5NQUL_oGbguvQ	12591802	Rome	Txy_tk1WU79uo4MR	7153336	Lazio	5QqgvRVTUb7tSzaDpQ	23424853	Italy	659	1	0.000002
GncHO4xQULyccmdh3A	12602527	14	0	50.336531	5.206189				GncHO4xQULyccmdh3A	12602527	Havelange	tbqaneJQUL8ih4TFNw	12591789	Dinant	GUWKwUVWU78xfAiX	7153303	Namur	KAx7uAdTUb4BXhB.8Q	23424757	Belgium	660	1	0.000003
yLdGq71UV7PBhuCzRQ	55903981	16	0	19.428249	-99.165118				TX7XQvhQU7yJlaM	116545	Mexico City	NN_n_7hQUL8NMgimOg	12599939	Cuauhtemoc	C2ghXTZTUb48pfbH	2346272	Distrito Federal	S._RoQ1TUb4WzNIdpA	23424900	Mexico	661	1	0.000003
VrSCDAxQUL.799ELEg	12589697	7	0	43.375108	-124.337768							VrSCDAxQUL.799ELEg	12589697	Coos	nWffZiZTUb4mWuFa	2347596	Oregon	nz.gsghTUb4c2WAecA	23424977	United States	662	1	0.000003
R4ZOG4ZQUboasg	13064	16	0	51.519337	-0.126978				hP_s5s9VVr5Qcg	44418	London	RcWoHEVTUb4U88DIPw	23416974	Greater London	2eIY2QFTVr_DwWZNLg	24554868	England	cnffEpdTUb5v258BBA	23424975	United Kingdom	663	1	0.000002
