# NodeID	Attribute1	Attribute2	Attribute3	_id	OutDeg	Pagerank
72597282@N00				0	1	0.000003
22101288@N03				1	1	0.000003
14483369@N06				2	1	0.000003
88329315@N00				3	6	0.000009
87718306@N00				4	2	0.000005
23903609@N03				5	2	0.000005
20988296@N03	MINGHE*luciano		volterra, italy	6	5	0.000010
53129839@N08				7	1	0.000003
22277273@N02				8	1	0.000003
26022450@N00				9	1	0.000004
51165135@N00				10	1	0.000003
10835960@N06				11	1	0.000003
59493362@N00				12	1	0.000003
7961715@N07				13	1	0.000003
15565052@N05				14	3	0.000007
13492637@N07				15	8	0.000015
10209980@N06				16	1	0.000003
27466963@N06				17	1	0.000003
74932590@N00				18	1	0.000003
97069956@N00				19	1	0.000003
20396026@N00				20	5	0.000010
16253539@N00				21	2	0.000005
84496354@N00				22	1	0.000003
52414690@N00				23	1	0.000003
16447874@N02				24	6	0.000011
22269898@N05				25	1	0.000003
75064650@N00				26	1	0.000003
29766893@N06				27	1	0.000003
12133877@N07				28	1	0.000003
22437686@N05				29	1	0.000003
74979812@N00				30	5	0.000010
21501046@N00				31	1	0.000003
8344947@N02				32	1	0.000003
97074028@N00				33	1	0.000003
82256086@N00				34	1	0.000003
12849890@N08				35	1	0.000003
26868392@N00	Aitor Escauriaza	Aitor Escauriaza		36	15	0.000020
7462187@N08				37	3	0.000005
84674743@N00	SuDolce	Susan Venturi		38	12	0.000019
11061494@N02				39	1	0.000004
61962937@N00				40	1	0.000003
9734713@N05				41	2	0.000005
36093984@N00				42	4	0.000008
44124394757@N01				43	1	0.000004
8545685@N08				44	1	0.000003
9539034@N06				45	4	0.000008
7146012@N03				46	2	0.000005
9082888@N02				47	2	0.000005
74985359@N00				48	1	0.000003
43402460@N00				49	18	0.000031
24016643@N06				50	1	0.000003
53629618@N00				51	2	0.000005
10409115@N07				52	1	0.000003
14655917@N06				53	1	0.000004
29501257@N00				54	1	0.000003
13409351@N08				55	1	0.000003
25314262@N06				56	1	0.000003
56832361@N00				57	1	0.000003
11931826@N08				58	1	0.000003
89679291@N00				59	1	0.000003
23614358@N03				60	1	0.000004
26221219@N08				61	1	0.000003
44124573@N00				62	5	0.000010
8336297@N02				63	1	0.000004
31636505@N00				64	1	0.000003
32179778@N00				65	3	0.000006
28131669@N05				66	1	0.000003
68749058@N00				67	3	0.000006
26637167@N08				68	3	0.000007
21555170@N00				69	1	0.000003
26718763@N05				70	1	0.000003
73753434@N00				71	1	0.000003
16136004@N04				72	2	0.000005
8476886@N06				73	3	0.000006
36723715@N00				74	2	0.000005
28565445@N00				75	1	0.000003
26314449@N02				76	1	0.000003
93111240@N00				77	3	0.000007
